,Year,Region,Arrivals_x,Business,Leisure,Medical,Diaspora,Others,Arrivals_y,Mode,Percentage
60,2020,Western Europe,31005.0,9.0,17.7,0.0,37.3,36.0,2744766,Air,79.2
61,2020,Western Europe,31005.0,9.0,17.7,0.0,37.3,36.0,2744766,Sea,1.5
62,2020,Western Europe,31005.0,9.0,17.7,0.0,37.3,36.0,2744766,Land,19.3
63,2020,Western Europe,16335.0,21.4,63.0,0.0,8.9,6.6,2744766,Air,79.2
64,2020,Western Europe,16335.0,21.4,63.0,0.0,8.9,6.6,2744766,Sea,1.5
65,2020,Western Europe,16335.0,21.4,63.0,0.0,8.9,6.6,2744766,Land,19.3
66,2020,Western Europe,11992.0,19.4,60.0,0.1,11.9,8.6,2744766,Air,79.2
67,2020,Western Europe,11992.0,19.4,60.0,0.1,11.9,8.6,2744766,Sea,1.5
68,2020,Western Europe,11992.0,19.4,60.0,0.1,11.9,8.6,2744766,Land,19.3
69,2020,Western Europe,12675.0,15.3,68.3,0.2,10.6,5.6,2744766,Air,79.2
70,2020,Western Europe,12675.0,15.3,68.3,0.2,10.6,5.6,2744766,Sea,1.5
71,2020,Western Europe,12675.0,15.3,68.3,0.2,10.6,5.6,2744766,Land,19.3
72,2020,Western Europe,291874.0,8.3,45.8,0.1,30.0,15.8,2744766,Air,79.2
73,2020,Western Europe,291874.0,8.3,45.8,0.1,30.0,15.8,2744766,Sea,1.5
74,2020,Western Europe,291874.0,8.3,45.8,0.1,30.0,15.8,2744766,Land,19.3
75,2020,Western Europe,4937.0,19.2,61.1,0.2,24.0,8.5,2744766,Air,79.2
76,2020,Western Europe,4937.0,19.2,61.1,0.2,24.0,8.5,2744766,Sea,1.5
77,2020,Western Europe,4937.0,19.2,61.1,0.2,24.0,8.5,2744766,Land,19.3
78,2020,Western Europe,624615.0,14.1,51.4,0.1,22.0,12.4,2744766,Air,79.2
79,2020,Western Europe,624615.0,14.1,51.4,0.1,22.0,12.4,2744766,Sea,1.5
80,2020,Western Europe,624615.0,14.1,51.4,0.1,22.0,12.4,2744766,Land,19.3
81,2020,Eastern Europe,3607.0,31.0,66.3,0.0,1.4,1.3,2744766,Air,79.2
82,2020,Eastern Europe,3607.0,31.0,66.3,0.0,1.4,1.3,2744766,Sea,1.5
83,2020,Eastern Europe,3607.0,31.0,66.3,0.0,1.4,1.3,2744766,Land,19.3
84,2020,Eastern Europe,2964.0,20.0,75.8,0.0,2.1,2.0,2744766,Air,79.2
85,2020,Eastern Europe,2964.0,20.0,75.8,0.0,2.1,2.0,2744766,Sea,1.5
86,2020,Eastern Europe,2964.0,20.0,75.8,0.0,2.1,2.0,2744766,Land,19.3
87,2020,Eastern Europe,5918.0,4.7,90.3,1.9,1.2,1.9,2744766,Air,79.2
88,2020,Eastern Europe,5918.0,4.7,90.3,1.9,1.2,1.9,2744766,Sea,1.5
89,2020,Eastern Europe,5918.0,4.7,90.3,1.9,1.2,1.9,2744766,Land,19.3
90,2020,Eastern Europe,12161.0,17.3,78.5,0.0,2.3,2.0,2744766,Air,79.2
91,2020,Eastern Europe,12161.0,17.3,78.5,0.0,2.3,2.0,2744766,Sea,1.5
92,2020,Eastern Europe,12161.0,17.3,78.5,0.0,2.3,2.0,2744766,Land,19.3
93,2020,Eastern Europe,102166.0,5.5,93.0,0.1,0.7,0.7,2744766,Air,79.2
94,2020,Eastern Europe,102166.0,5.5,93.0,0.1,0.7,0.7,2744766,Sea,1.5
95,2020,Eastern Europe,102166.0,5.5,93.0,0.1,0.7,0.7,2744766,Land,19.3
96,2020,Eastern Europe,10619.0,12.2,80.9,0.2,2.9,3.8,2744766,Air,79.2
97,2020,Eastern Europe,10619.0,12.2,80.9,0.2,2.9,3.8,2744766,Sea,1.5
98,2020,Eastern Europe,10619.0,12.2,80.9,0.2,2.9,3.8,2744766,Land,19.3
99,2020,Eastern Europe,30710.0,17.8,58.7,18.2,2.5,2.7,2744766,Air,79.2
100,2020,Eastern Europe,30710.0,17.8,58.7,18.2,2.5,2.7,2744766,Sea,1.5
101,2020,Eastern Europe,30710.0,17.8,58.7,18.2,2.5,2.7,2744766,Land,19.3
102,2020,Eastern Europe,168145.0,9.7,84.1,3.4,1.3,1.4,2744766,Air,79.2
103,2020,Eastern Europe,168145.0,9.7,84.1,3.4,1.3,1.4,2744766,Sea,1.5
104,2020,Eastern Europe,168145.0,9.7,84.1,3.4,1.3,1.4,2744766,Land,19.3
105,2020,Africa,4886.0,56.1,30.8,1.3,5.5,6.2,2744766,Air,79.2
106,2020,Africa,4886.0,56.1,30.8,1.3,5.5,6.2,2744766,Sea,1.5
107,2020,Africa,4886.0,56.1,30.8,1.3,5.5,6.2,2744766,Land,19.3
108,2020,Africa,12779.0,10.6,25.0,16.0,15.4,33.1,2744766,Air,79.2
109,2020,Africa,12779.0,10.6,25.0,16.0,15.4,33.1,2744766,Sea,1.5
110,2020,Africa,12779.0,10.6,25.0,16.0,15.4,33.1,2744766,Land,19.3
111,2020,Africa,11410.0,2.4,74.8,9.6,9.0,4.2,2744766,Air,79.2
112,2020,Africa,11410.0,2.4,74.8,9.6,9.0,4.2,2744766,Sea,1.5
113,2020,Africa,11410.0,2.4,74.8,9.6,9.0,4.2,2744766,Land,19.3
114,2020,Africa,3819.0,17.0,6.9,53.1,7.5,15.5,2744766,Air,79.2
115,2020,Africa,3819.0,17.0,6.9,53.1,7.5,15.5,2744766,Sea,1.5
